The model has 41 class(es).
The class 'aml::CollectionItem' has the following attributes: 'idRef' of type str; 'ordinal' of type str; 'objectType' of type str.
The class 'aml::Value' has the following attributes: 'mixed' of type str; 'group' of type str; 'unit' of type str; 'type' of type str.
The class 'aml::Publisher' has the following attributes: 'description' of type str; 'idRef' of type str; 'objectType' of type str.
The class 'aml::DiscoveryMethod' has the following attributes: 'id' of type str; 'autoTrigger' of type str; 'type' of type str; 'label' of type str; 'description' of type str; 'url' of type str; 'importType' of type str.
The class 'aml::Collection' has the following attributes: 'label' of type str; 'group' of type str; 'label1' of type str; 'id' of type str; 'objectType' of type str.
The class 'aml::End' has the following attributes: 'scheme' of type str; 'value' of type str.
The class 'aml::Witness' has the following attributes: 'timestamp' of type str; 'description' of type str; 'idRef' of type str.
The class 'aml::NationState' has the following attributes: 'region' of type str; 'perspective' of type str; 'group' of type str; 'event' of type str; 'actor' of type str.
The class 'aml::CreatingTool' has the following attributes: 'version' of type str; 'label' of type str; 'toolType' of type str.
The class 'aml::Dependent' has the following attributes: 'ordinal' of type str; 'idRef' of type str.
The class 'aml::Belief' has the following attributes: 'label' of type str; 'description' of type str; 'ordinal' of type str; 'symbol' of type str.
The class 'aml::Reliability' has the following attributes: 'description' of type str; 'ordinal' of type str; 'symbol' of type str; 'label' of type str.
The class 'aml::Question' has the following attributes: 'description' of type str; 'amplification' of type str; 'group' of type str; 'id' of type str; 'label' of type str.
The class 'aml::Creator' has the following attributes: 'description' of type str; 'idRef' of type str; 'objectType' of type str.
The class 'aml::Annotation' has the following attributes: 'id' of type str; 'mixed' of type str; 'group' of type str.
The class 'aml::Flag' has the following attributes: 'description' of type str; 'label' of type str; 'flagType' of type str.
The class 'aml::List' has the following attributes: 'group' of type str.
The class 'aml::Memo' has the following attributes: 'type' of type str; 'body' of type str; 'id' of type str; 'subject' of type str.
The class 'aml::EObject' has no attributes.
The class 'aml::Coverage' has the following attributes: 'group' of type str; 'mixed' of type str.
The class 'aml::Interval' has the following attributes: 'min' of type str; 'max' of type str.
The class 'aml::Argument' has the following attributes: 'id' of type str.
The class 'aml::Exhibit' has the following attributes: 'id' of type str.
The class 'aml::MetaData' has the following attributes: 'title' of type str; 'date' of type str; 'description' of type str; 'subject' of type str; 'securityMarking' of type str; 'group' of type str.
The class 'aml::Period' has the following attributes: 'group' of type str; 'label' of type str.
The class 'aml::EvidenceExhibit' has the following attributes: 'value' of type str; 'questionId' of type str; 'idRef' of type str.
The class 'aml::QuestionRelationships' has no attributes.
The class 'aml::Evidence' has the following attributes: 'id' of type str; 'ordinal' of type str; 'label' of type str.
The class 'aml::Parameter' has the following attributes: 'symbol' of type str.
The class 'aml::Choice' has the following attributes: 'ordinal' of type str; 'symbol' of type str; 'description' of type str; 'label' of type str.
The class 'aml::Answer' has the following attributes: 'group' of type str; 'questionId' of type str; 'rationale' of type str.
The class 'aml::AggregationRule' has no attributes.
The class 'aml::Person' has the following attributes: 'id' of type str; 'description' of type str; 'nickName' of type str; 'firstName' of type str; 'middleName' of type str; 'department' of type str; 'lastName' of type str; 'organization' of type str; 'email' of type str.
The class 'aml::ArgumentTemplate' has the following attributes: 'value' of type str; 'idRef' of type str.
The class 'aml::EStringToStringMapEntry' has no attributes.
The class 'aml::Template' has the following attributes: 'id' of type str.
The class 'aml::Start' has the following attributes: 'value' of type str; 'scheme' of type str.
The class 'aml::DocumentRoot' has the following attributes: 'title' of type str; 'body' of type str; 'email' of type str; 'id' of type str; 'lastName' of type str; 'region' of type str; 'description1' of type str; 'perspective' of type str; 'label1' of type str; 'firstName' of type str; 'organization' of type str; 'date' of type str; 'symbol' of type str; 'actor' of type str; 'event' of type str; 'securityMarking' of type str; 'description' of type str; 'middleName' of type str; 'nickName' of type str; 'label' of type str; 'department' of type str; 'mixed' of type str; 'url' of type str; 'idRef' of type str; 'subject' of type str; 'rationale' of type str.
The class 'aml::Reader' has the following attributes: 'description' of type str; 'objectType' of type str; 'idRef' of type str.
The class 'aml::Relevance' has the following attributes: 'label' of type str; 'symbol' of type str; 'description' of type str; 'ordinal' of type str.
The class 'aml::AmlDocument' has the following attributes: 'group' of type str; 'version' of type str.
The enumeration 'Type' has the following literals: 'Urldir', 'Template', 'Url'.
The enumeration 'ObjectType3' has the following literals: 'group', 'person', 'memo', 'collection', 'exhibit', 'discoveryMethod', 'argument', 'template'.
The enumeration 'ObjectType1' has the following literals: 'group', 'argument', 'discoveryMethod', 'memo', 'collection', 'template', 'person', 'exhibit'.
The enumeration 'ObjectType' has the following literals: 'collection', 'template', 'exhibit', 'group', 'argument', 'person', 'discoveryMethod', 'memo'.
The enumeration 'ObjectType2' has the following literals: 'SEQUENTIAL', 'VERSIONING', 'MISC', 'template', 'argument', 'group'.
'aml::DocumentRoot' (role 'aml_DocumentRoot154', cardinality 0..*) is associated with 'aml::MetaData' (role 'aml_MetaData155', cardinality 0..*).
'aml::Answer' (role 'aml_Answer84', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot83', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot103', cardinality 0..*) is associated with 'aml::CollectionItem' (role 'aml_CollectionItem104', cardinality 0..*).
'aml::Period' (role 'aml_Period', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot166', cardinality 0..*).
'aml::MetaData' (role 'aml_MetaData263', cardinality 0..*) is associated with 'aml::EObject' (role 'aml_EObject264', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot77', cardinality 0..*) is associated with 'aml::AmlDocument' (role 'aml_AmlDocument78', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot74', cardinality 0..*) is associated with 'aml::AggregationRule' (role 'aml_AggregationRule75', cardinality 0..*).
'aml::CreatingTool' (role 'aml_CreatingTool113', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot112', cardinality 0..*).
'aml::DiscoveryMethod' (role 'aml_DiscoveryMethod', cardinality 0..*) is associated with 'aml::AmlDocument' (role 'aml_AmlDocument15', cardinality 0..*).
'aml::AmlDocument' (role 'aml_AmlDocument13', cardinality 0..*) is associated with 'aml::Memo' (role 'aml_Memo', cardinality 0..*).
'aml::Exhibit' (role 'aml_Exhibit', cardinality 0..*) is associated with 'aml::AmlDocument' (role 'aml_AmlDocument7', cardinality 0..*).
'aml::EvidenceExhibit' (role 'aml_EvidenceExhibit207', cardinality 0..*) is associated with 'aml::Evidence' (role 'aml_Evidence206', cardinality 0..*).
'aml::Choice' (role 'aml_Choice300', cardinality 0..*) is associated with 'aml::Question' (role 'aml_Question299', cardinality 0..*).
'aml::Argument' (role 'aml_Argument', cardinality 0..*) is associated with 'aml::AmlDocument' (role 'aml_AmlDocument5', cardinality 0..*).
'aml::MetaData' (role 'aml_MetaData245', cardinality 0..*) is associated with 'aml::Reader' (role 'aml_Reader246', cardinality 0..*).
'aml::DiscoveryMethod' (role 'aml_DiscoveryMethod67', cardinality 0..*) is associated with 'aml::Annotation' (role 'aml_Annotation68', cardinality 0..*).
'aml::ArgumentTemplate' (role 'aml_ArgumentTemplate65', cardinality 0..*) is associated with 'aml::DiscoveryMethod' (role 'aml_DiscoveryMethod64', cardinality 0..*).
'aml::ArgumentTemplate' (role 'aml_ArgumentTemplate93', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot92', cardinality 0..*).
'aml::Memo' (role 'aml_Memo17', cardinality 0..*) is associated with 'aml::Annotation' (role 'aml_Annotation', cardinality 0..*).
'aml::Relevance' (role 'aml_Relevance210', cardinality 0..*) is associated with 'aml::Evidence' (role 'aml_Evidence209', cardinality 0..*).
'aml::ArgumentTemplate' (role 'aml_ArgumentTemplate', cardinality 0..*) is associated with 'aml::Argument' (role 'aml_Argument42', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot193', cardinality 0..*) is associated with 'aml::Start' (role 'aml_Start', cardinality 0..*).
'aml::DiscoveryMethod' (role 'aml_DiscoveryMethod120', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot119', cardinality 0..*).
'aml::Dependent' (role 'aml_Dependent294', cardinality 0..*) is associated with 'aml::QuestionRelationships' (role 'aml_QuestionRelationships293', cardinality 0..*).
'aml::Annotation' (role 'aml_Annotation19', cardinality 0..*) is associated with 'aml::Flag' (role 'aml_Flag', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot149', cardinality 0..*) is associated with 'aml::List' (role 'aml_List', cardinality 0..*).
'aml::Annotation' (role 'aml_Annotation40', cardinality 0..*) is associated with 'aml::Argument' (role 'aml_Argument39', cardinality 0..*).
'aml::Collection' (role 'aml_Collection47', cardinality 0..*) is associated with 'aml::MetaData' (role 'aml_MetaData48', cardinality 0..*).
'aml::EObject' (role 'aml_EObject107', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot106', cardinality 0..*).
'aml::DocumentRoot' (role 'aml_DocumentRoot127', cardinality 0..*) is associated with 'aml::EvidenceExhibit' (role 'aml_EvidenceExhibit', cardinality 0..*).
'aml::Annotation' (role 'aml_Annotation321', cardinality 0..*) is associated with 'aml::Template' (role 'aml_Template320', cardinality 0..*).
'aml::Memo' (role 'aml_Memo152', cardinality 0..*) is associated with 'aml::DocumentRoot' (role 'aml_DocumentRoot151', cardinality 0..*).
