score;pca_count;article_count
0;0;79
1;0;269
2;0;449
3;1;363
4;4;363
5;6;632
6;19;435
7;48;378
8;39;424
9;32;270
10;32;413
11;99;457
12;135;467
13;83;439
14;139;186
15;274;152
16;547;138
17;174;130
18;178;177
19;255;171
20;244;142
21;327;136
22;386;99
23;251;112
24;216;76
25;188;76
26;232;50
27;242;67
28;425;46
29;187;55
30;147;38
31;183;50
32;220;39
33;178;60
34;174;37
35;175;22
36;149;27
37;159;45
38;168;23
39;160;38
40;139;21
41;218;23
42;131;23
43;136;65
44;112;48
45;313;33
46;90;19
47;95;12
48;151;22
49;83;23
50;49;27
51;53;15
52;40;21
53;56;19
54;37;13
55;58;7
56;47;22
57;50;12
58;52;16
59;22;17
60;31;14
61;35;8
62;36;15
63;46;7
64;36;13
65;40;9
66;44;8
67;19;14
68;24;8
69;19;26
70;23;17
71;29;17
72;16;10
73;13;12
74;27;13
75;25;6
76;41;14
77;29;19
78;30;5
79;23;14
80;16;6
81;8;4
82;15;5
83;3;10
84;4;7
85;9;10
86;5;10
87;1;11
88;3;11
89;12;10
90;1;7
91;0;1
92;7;12
93;0;3
94;4;5
95;0;2
96;0;5
97;0;4
98;0;10
99;0;5
100;0;607
